counties,receiving_water_reach,waterbody_type,WB_REFKEY
Orange,Agua Chinon Wash,River / Stream,G8S002500000000
Orange,Anaheim Bay - Outer Bay,Bay / Estuary / Coastal,G8S000500000000
Orange,Anaheim Bay - Seal Beach National Wildlife Refuge,Bay / Estuary / Coastal,G8S000600000000
Orange,Anaheim Lake,Lake / Reservoir,G8S010100000000
Orange,Big Canyon Creek,River / Stream,G8S013200000000
Orange,Black Star,Other,G8S002200000000
Orange,Bolsa Bay,Bay / Estuary / Coastal,G8S000800000000
Orange,Bolsa Chica Ecological Reserve,Other Surface Water,G8S000900000000
Orange,Buck Gully Creek,River / Stream,G8S013600000000
Orange,Carbon Creek,River / Stream,G8S013000000000
Orange,Coyote Creek (San Gabriel River Estuary to La Canada Verde Creek),River / Stream,B4L0221510E8078
Orange,Greenville Banning Channel Reach 1- Inflatable Diversion Dam to California Street,River / Stream,G8S014400000000
Orange,Huntington Beach Wetlands,Bay / Estuary / Coastal,G8S001300000000
Orange,Irvine Lake (Santiago Reservoir),Lake / Reservoir,G8S010200000000
Orange,Laguna Canyon,Other,G9S000500000000
Orange,Los Cerritos Wetlands,Bay / Estuary / Coastal,G8S000400000000
Orange,Los Trancos Creek,River / Stream,G8S013500000000
Orange,Lower Newport Bay,Bay / Estuary / Coastal,G8S001000000000
Orange,Morning Canyon Creek,River / Stream,G8S013300000000
Orange,Muddy Canyon Creek,River / Stream,G8S013400000000
Orange,Newport Slough,Bay / Estuary / Coastal,G8S012600000000
Orange,Peters Canyon Reservoir,Lake / Reservoir,G8S010300000000
Orange,Poppy Street to Southeast Regional Boundary (Nearshore Zone),Bay / Estuary / Coastal,G8S000200000000
Orange,San Diego Creek Reach 1 - below Jeffrey Road,River / Stream,B8S0024510BC6B1
Orange,San Diego Creek Reach 2 - above Jeffrey Road to Headwaters,River / Stream,B8S0024510BC6B2
Orange,San Gabriel River to Poppy Street in Corona Del Mar (Nearshore Zone),Bay / Estuary / Coastal,G8S000100000000
Orange,San Joaquin Freshwater Marsh,Bay / Estuary / Coastal,G8S011000000000
Orange,Santa Ana River Reach 1 - Tidal Prism to 17th Street in Santa Ana,Bay / Estuary / Coastal,B8S0014510BC6A9
Orange,Santa Ana River Salt Marsh,Bay / Estuary / Coastal,G8S001200000000
Orange,Santa Ana-Delhi Channel Reach 1 - upper bound. of Tidal Prism to intersect. of Sunflower Ave./Flower St.,Bay / Estuary / Coastal,G8S014700000000
Orange,Santa Ana-Delhi Channel Reach 2 - Sunflower Ave./Flower St. intersection Warner Avenue,River / Stream,G8S014800000000
Orange,"Santiago Creek Reach 2 - Irvine Lake (see Lakes, pg. 3-xx",River / Stream,B8S0020510BC6AC
Orange,Santiago Creek Reach 3 - Irvine Lake to Modjeska Canyon,River / Stream,B8S0020510BC6AE
Orange,Santiago Creek Reach 4 - in Modjeska Canyon,River / Stream,B8S0020510BC6AF
Orange,Sunset Bay - Huntington Harbor,Bay / Estuary / Coastal,G8S000700000000
Orange,Tidal Prism of Greenville-Banning Channel - Santa Ana River Confluence to Inflatable Diversion Dam,Bay / Estuary / Coastal,G8S014500000000
Orange,Tidal Prism of San Gabriel River - River Mouth to Marina Drive,Bay / Estuary / Coastal,B8S0015510BC89B
Orange,Tidal Prism of Santa Ana River (to within 1000’ of Victoria Street) and Newport Slough,Bay / Estuary / Coastal,B8S0014510BC6A3
Orange,Tidal Prism of Santa Ana-Delhi Channel - Bicycle Bridge at University Dr. at Upper Newport Bay to 1036 ft. upstream,Bay / Estuary / Coastal,G8S014600000000
Orange,Upper Newport Bay,Bay / Estuary / Coastal,G8S001100000000
Orange,Waters Between Nearshore Zone and Limit of State Waters (Offshore Zone),Bay / Estuary / Coastal,G8S000300000000
Orange; Riverside,Ladd Creek,River / Stream,G8S002300000000
Orange; Riverside,Other Tributaries to these Creeks,River / Stream,G8S008300000000
Orange; Riverside,Santiago Creek Reach 1 - below Irvine Lake,River / Stream,B8S0020510BC6AB
Orange; Riverside,Silverado Creek,River / Stream,G8S002100000000
Orange; Riverside,Temescal Creek Reach 4 - Lee Lake to Mid-Section Line of Section 17 (downstream end of freeway cut),River / Stream,B8S0079510BC6F3
Orange; Riverside; San Bernardino,Aliso Creek,River / Stream,G8S001800000000
Orange; Riverside; San Bernardino,Santa Ana River Reach 2 - 17th Street in Santa Ana to Prado Dam,River / Stream,B8S0014510BC6AA
Orange; San Bernardino,Carbon Canyon Creek,River / Stream,G8S001900000000
Orange; San Bernardino,Coyote Creek (within Santa Ana Regional boundary),River / Stream,G8S002600000000
Riverside,Anza Park Drain,River / Stream,G8S007500000000
Riverside,Bautista Creek - Headwaters to Debris Dam,River / Stream,B8S0085510BC701
Riverside,Bedford Canyon Creek,River / Stream,G8S008100000000
Riverside,Black Mountain Creek,River / Stream,G8S008900000000
Riverside,Cactus Valley Creek,River / Stream,G8S009100000000
